_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
183625,4937758,2021.0,2021,1940.0,PRIVATE,11,University-Rosedale,424 YONGE ST,10,210,2021-06-22,81,Evaluation needs to be conducted in 3 years,16,5.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,S1145,43.6604990067,-79.3839774936,314228.403,4835355.504
183626,4915028,2021.0,2021,2021.0,PRIVATE,11,University-Rosedale,484 SPADINA AVE,16,166,2021-06-22,99,Evaluation needs to be conducted in 3 years,17,5.0,5.0,5.0,5.0,,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,S1138,43.6582941155,-79.40075313850001,312789.392,4835153.945
183627,4154086,2017.0,2021,1986.0,TCHC,14,Toronto-Danforth,266 DONLANDS AVE,8,254,2021-05-14,78,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,S1422,43.6896562892,-79.3419083036,317529.06899999996,4838645.48
183628,4155609,2017.0,2021,1970.0,TCHC,14,Toronto-Danforth,2 PHIN AVE,3,34,2021-05-14,71,Evaluation needs to be conducted in 2 years,15,3.0,4.0,3.0,3.0,3.0,4.0,,4.0,,4.0,3.0,3.0,4.0,4.0,4.0,4.0,,3.0,,,S1431,43.6788050577,-79.33587160260001,318018.089,4837440.899
183629,4155471,2017.0,2021,1992.0,TCHC,3,Etobicoke-Lakeshore,98 CAVELL AVE,6,100,2021-05-12,75,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,,2.0,4.0,4.0,5.0,4.0,3.0,,4.0,,,W0336,43.616184073999996,-79.49590117,305111.3,4830450.134
183630,4155654,2017.0,2021,1962.0,TCHC,3,Etobicoke-Lakeshore,5005 DUNDAS ST W,19,255,2021-05-12,69,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,,2.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,,W0321,43.6460539737,-79.53072049149999,302305.928,4833790.048
183631,4155514,2017.0,2021,1960.0,PRIVATE,3,Etobicoke-Lakeshore,8 LAKE SHORE DR,3,11,2021-05-11,59,Evaluation needs to be conducted in 1 year,14,3.0,4.0,2.0,2.0,3.0,3.0,,3.0,,,2.0,3.0,3.0,3.0,4.0,3.0,,3.0,,,W0335,43.6015075472,-79.49800545229999,304945.349,4828840.676
183632,4156070,2017.0,2021,1992.0,SOCIAL HOUSING,1,Etobicoke North,2715 ISLINGTON AVE,5,80,2021-05-06,86,Evaluation needs to be conducted in 3 years,19,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,,W0126,43.7416736933,-79.566398634,299387.542,4844393.19
183633,4156089,2017.0,2021,1977.0,PRIVATE,2,Etobicoke Centre,290 THE KINGSWAY,4,22,2021-05-06,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,2.0,,3.0,,4.0,4.0,4.0,5.0,4.0,5.0,4.0,,4.0,2.0,,W0229,43.663351284799994,-79.5210336725,303087.922,4835711.443
183634,4156447,2017.0,2021,1977.0,PRIVATE,2,Etobicoke Centre,292 THE KINGSWAY,4,22,2021-05-06,74,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,4.0,2.0,,3.0,,4.0,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,2.0,,W0229,43.6634977142,-79.521320335,303064.81,4835727.717
