_id,RSN,Property Manager,PCODE,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
183625,4937758,GWLRA RESIDENTIAL,M5B,2021,2021,1940,PRIVATE,11,University-Rosedale,424 YONGE ST,10,210,2021-06-22,81,Evaluation needs to be conducted in 3 years,16,5,4,3,4,4,5,3,3,5,,4,4,5,4,4,4,,4,,,S1145,43.66049901,-79.38397749,314228.403,4835355.504
183626,4915028,FITZROVIA REAL ESTATE INC,M5S,2021,2021,2021,PRIVATE,11,University-Rosedale,484 SPADINA AVE,16,166,2021-06-22,99,Evaluation needs to be conducted in 3 years,17,5,5,5,5,,5,5,4,5,,5,5,5,5,5,5,5,5,5,,S1138,43.65829412,-79.40075314,312789.392,4835153.945
183627,4154086,,M4J,2017,2021,1986,TCHC,14,Toronto-Danforth,266 DONLANDS AVE,8,254,2021-05-14,78,Evaluation needs to be conducted in 2 years,18,4,4,4,3,4,4,4,4,4,,3,4,4,4,4,4,4,4,4,,S1422,43.68965629,-79.3419083,317529.069,4838645.48
183628,4155609,TCH,M4J,2017,2021,1970,TCHC,14,Toronto-Danforth,2 PHIN AVE,3,34,2021-05-14,71,Evaluation needs to be conducted in 2 years,15,3,4,3,3,3,4,,4,,4,3,3,4,4,4,4,,3,,,S1431,43.67880506,-79.3358716,318018.089,4837440.899
183629,4155471,,M8V,2017,2021,1992,TCHC,3,Etobicoke-Lakeshore,98 CAVELL AVE,6,100,2021-05-12,75,Evaluation needs to be conducted in 2 years,16,4,4,4,3,3,4,4,4,4,,2,4,4,5,4,3,,4,,,W0336,43.61618407,-79.49590117,305111.3,4830450.134
183630,4155654,DEL MANAGMENT,M9A,2017,2021,1962,TCHC,3,Etobicoke-Lakeshore,5005 DUNDAS ST W,19,255,2021-05-12,69,Evaluation needs to be conducted in 2 years,18,4,4,4,2,3,4,4,4,3,,2,4,2,4,4,4,3,3,4,,W0321,43.64605397,-79.53072049,302305.928,4833790.048
183631,4155514,,M8V,2017,2021,1960,PRIVATE,3,Etobicoke-Lakeshore,8 LAKE SHORE DR,3,11,2021-05-11,59,Evaluation needs to be conducted in 1 year,14,3,4,2,2,3,3,,3,,,2,3,3,3,4,3,,3,,,W0335,43.60150755,-79.49800545,304945.349,4828840.676
183632,4156070,,M9V,2017,2021,1992,SOCIAL HOUSING,1,Etobicoke North,2715 ISLINGTON AVE,5,80,2021-05-06,86,Evaluation needs to be conducted in 3 years,19,4,4,5,5,4,5,4,5,4,4,4,5,5,4,4,3,4,5,4,,W0126,43.74167369,-79.56639863,299387.542,4844393.19
183633,4156089,,M9A,2017,2021,1977,PRIVATE,2,Etobicoke Centre,290 THE KINGSWAY,4,22,2021-05-06,78,Evaluation needs to be conducted in 2 years,16,4,4,5,4,4,2,,3,,4,4,4,5,4,5,4,,4,2,,W0229,43.66335128,-79.52103367,303087.922,4835711.443
183634,4156447,,M9A,2017,2021,1977,PRIVATE,2,Etobicoke Centre,292 THE KINGSWAY,4,22,2021-05-06,74,Evaluation needs to be conducted in 2 years,16,4,4,5,3,4,2,,3,,4,3,4,5,4,4,4,,4,2,,W0229,43.66349771,-79.52132034,303064.81,4835727.717
183635,4155469,,M8Y,2017,2021,1972,TCHC,3,Etobicoke-Lakeshore,340 ROYAL YORK RD,16,307,2021-05-06,78,Evaluation needs to be conducted in 2 years,17,4,4,4,3,4,4,4,3,4,,3,4,5,4,4,4,4,4,,,W0332,43.61692085,-79.49934613,304837.091,4830553.024
183636,4155274,,M8Y,2019,2021,1958,PRIVATE,3,Etobicoke-Lakeshore,22 RIVERWOOD PKWY,4,44,2021-05-06,69,Evaluation needs to be conducted in 2 years,14,3,4,4,3,4,3,,4,,,2,4,5,3,3,3,,3,,,W0327,43.63880941,-79.48954909,305627.568,4832984.75
183637,4153113,,M6C,2017,2021,1930,PRIVATE,9,Davenport,921 ST CLAIR AVE W,4,23,2021-05-05,78,Evaluation needs to be conducted in 2 years,16,3,3,5,4,4,3,,4,,4,4,3,5,4,4,4,,4,4,,S0928,43.67961297,-79.43432221,310079.882,4837519.722
183638,4153114,STAR PROPERTY MANAGEMENT LTD.,M6C,2017,2021,1957,PRIVATE,9,Davenport,917 ST CLAIR AVE W,3,16,2021-05-05,71,Evaluation needs to be conducted in 2 years,16,3,4,3,3,4,4,,4,,3,3,3,4,3,4,4,,4,4,,S0928,43.67965253,-79.43413366,310095.081,4837524.129
183639,4155504,,M8V,2017,2021,1955,PRIVATE,3,Etobicoke-Lakeshore,2507 LAKE SHORE BLVD W,3,21,2021-05-05,45,Building Audit,15,2,2,2,2,2,2,,3,,2,2,1,3,3,2,3,,3,,,W0336,43.61194373,-79.48947858,305633.594,4830000.121
183640,4155502,TRAVI INC,M8V,2019,2021,1955,PRIVATE,3,Etobicoke-Lakeshore,2517 LAKE SHORE BLVD W,4,42,2021-05-05,57,Evaluation needs to be conducted in 1 year,15,3,3,3,3,3,4,,1,,,2,3,3,3,3,3,3,3,,,W0336,43.61124884,-79.48970287,305617.985,4829937.637
183641,4153161,CHARLES DIEU,M6H,,2021,1926,PRIVATE,9,Davenport,1121 BLOOR ST W,4,11,2021-05-05,68,Evaluation needs to be conducted in 2 years,15,3,3,3,3,,3,,4,,3,3,4,4,4,3,3,,4,4,,S0934,43.6597667,-79.43486802,310037.689,4835314.866
183642,4153112,,M6C,2017,2021,1930,PRIVATE,9,Davenport,923 ST CLAIR AVE W,4,24,2021-05-05,78,Evaluation needs to be conducted in 2 years,16,3,3,5,4,4,3,,4,,4,4,3,5,4,4,4,,4,4,,S0928,43.67956524,-79.43451122,310064.646,4837514.406
